"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","ELECTRICITY","TOT","GWH","A","1995",34710,
"DNK","ELECTRICITY","TOT","GWH","A","1996",51010,
"DNK","ELECTRICITY","TOT","GWH","A","1997",41888,
"DNK","ELECTRICITY","TOT","GWH","A","1998",39225,
"DNK","ELECTRICITY","TOT","GWH","A","1999",37045,
"DNK","ELECTRICITY","TOT","GWH","A","2000",34448,
"DNK","ELECTRICITY","TOT","GWH","A","2001",36165,
"DNK","ELECTRICITY","TOT","GWH","A","2002",37336,
"DNK","ELECTRICITY","TOT","GWH","A","2003",43754,
"DNK","ELECTRICITY","TOT","GWH","A","2004",38402,
"DNK","ELECTRICITY","TOT","GWH","A","2005",34413,
"DNK","ELECTRICITY","TOT","GWH","A","2006",43185,
"DNK","ELECTRICITY","TOT","GWH","A","2007",37356,
"DNK","ELECTRICITY","TOT","GWH","A","2008",34852,
"DNK","ELECTRICITY","TOT","GWH","A","2009",34462,
"DNK","ELECTRICITY","TOT","GWH","A","2010",36872,
"DNK","ELECTRICITY","TOT","GWH","A","2011",33549,
"DNK","ELECTRICITY","TOT","GWH","A","2012",29200,
"DNK","ELECTRICITY","TOT","GWH","A","2013",33138,
"DNK","ELECTRICITY","TOT","GWH","A","2014",30815,
"DNK","ELECTRICITY","TOT","GWH","A","2015",27921,
"DNK","ELECTRICITY","TOT","GWH","A","2016",29081,
"DNK","ELECTRICITY","TOT","GWH","A","2017",29638.3,
"DNK","ELECTRICITY","TOT","GWH","A","2018",29315.485,
"DNK","ELECTRICITY","TOT","GWH","A","2019",28683.717,
"DNK","ELECTRICITY","TOT","GWH","A","2020",27875.652,
"DNK","ELECTRICITY","TOT","GWH","A","2021",31912.303,
"DNK","ELECTRICITY","TOT","GWH","A","2022",,"L"
"FIN","ELECTRICITY","TOT","GWH","A","1990",51591,
"FIN","ELECTRICITY","TOT","GWH","A","1991",55098,
"FIN","ELECTRICITY","TOT","GWH","A","1992",54957,
"FIN","ELECTRICITY","TOT","GWH","A","1993",58008,
"FIN","ELECTRICITY","TOT","GWH","A","1994",62175,
"FIN","ELECTRICITY","TOT","GWH","A","1995",60542,
"FIN","ELECTRICITY","TOT","GWH","A","1996",66359,
"FIN","ELECTRICITY","TOT","GWH","A","1997",66150,
"FIN","ELECTRICITY","TOT","GWH","A","1998",67322,
"FIN","ELECTRICITY","TOT","GWH","A","1999",66678,
"FIN","ELECTRICITY","TOT","GWH","A","2000",67288,
"FIN","ELECTRICITY","TOT","GWH","A","2001",71237,
"FIN","ELECTRICITY","TOT","GWH","A","2002",71632,
"FIN","ELECTRICITY","TOT","GWH","A","2003",80397,
"FIN","ELECTRICITY","TOT","GWH","A","2004",82191,
"FIN","ELECTRICITY","TOT","GWH","A","2005",67843,
"FIN","ELECTRICITY","TOT","GWH","A","2006",78643,
"FIN","ELECTRICITY","TOT","GWH","A","2007",77835,
"FIN","ELECTRICITY","TOT","GWH","A","2008",74494,
"FIN","ELECTRICITY","TOT","GWH","A","2009",69222,
"FIN","ELECTRICITY","TOT","GWH","A","2010",77220,
"FIN","ELECTRICITY","TOT","GWH","A","2011",70413,
"FIN","ELECTRICITY","TOT","GWH","A","2012",67707,
"FIN","ELECTRICITY","TOT","GWH","A","2013",68353,
"FIN","ELECTRICITY","TOT","GWH","A","2014",65458,
"FIN","ELECTRICITY","TOT","GWH","A","2015",66155,
"FIN","ELECTRICITY","TOT","GWH","A","2016",66203,
"FIN","ELECTRICITY","TOT","GWH","A","2017",65043,
"FIN","ELECTRICITY","TOT","GWH","A","2018",67533,
"FIN","ELECTRICITY","TOT","GWH","A","2019",66053,
"FIN","ELECTRICITY","TOT","GWH","A","2020",66598,
"FIN","ELECTRICITY","TOT","GWH","A","2021",69323,
"FIN","ELECTRICITY","TOT","GWH","A","2022",,"L"
"FRA","ELECTRICITY","TOT","GWH","A","1990",401151,
"FRA","ELECTRICITY","TOT","GWH","A","1991",434915,
"FRA","ELECTRICITY","TOT","GWH","A","1992",443130,
"FRA","ELECTRICITY","TOT","GWH","A","1993",451685,
"FRA","ELECTRICITY","TOT","GWH","A","1994",455505,
"FRA","ELECTRICITY","TOT","GWH","A","1995",472600,
"FRA","ELECTRICITY","TOT","GWH","A","1996",490852,
"FRA","ELECTRICITY","TOT","GWH","A","1997",482056,
"FRA","ELECTRICITY","TOT","GWH","A","1998",487765,
"FRA","ELECTRICITY","TOT","GWH","A","1999",502473,
"FRA","ELECTRICITY","TOT","GWH","A","2000",516109,
"FRA","ELECTRICITY","TOT","GWH","A","2001",525951,
"FRA","ELECTRICITY","TOT","GWH","A","2002",534837,
"FRA","ELECTRICITY","TOT","GWH","A","2003",542213,
"FRA","ELECTRICITY","TOT","GWH","A","2004",549322,
"FRA","ELECTRICITY","TOT","GWH","A","2005",550035,
"FRA","ELECTRICITY","TOT","GWH","A","2006",549179,
"FRA","ELECTRICITY","TOT","GWH","A","2007",544362,
"FRA","ELECTRICITY","TOT","GWH","A","2008",548444,
"FRA","ELECTRICITY","TOT","GWH","A","2009",512285,
"FRA","ELECTRICITY","TOT","GWH","A","2010",544299,
"FRA","ELECTRICITY","TOT","GWH","A","2011",547531,
"FRA","ELECTRICITY","TOT","GWH","A","2012",547921,
"FRA","ELECTRICITY","TOT","GWH","A","2013",557981,
"FRA","ELECTRICITY","TOT","GWH","A","2014",548731,
"FRA","ELECTRICITY","TOT","GWH","A","2015",555145,
"FRA","ELECTRICITY","TOT","GWH","A","2016",540420,
"FRA","ELECTRICITY","TOT","GWH","A","2017",537849.511,
"FRA","ELECTRICITY","TOT","GWH","A","2018",557831.567,
"FRA","ELECTRICITY","TOT","GWH","A","2019",547079.266,
"FRA","ELECTRICITY","TOT","GWH","A","2020",509870.747,
"FRA","ELECTRICITY","TOT","GWH","A","2021",532497.111,
"FRA","ELECTRICITY","TOT","GWH","A","2022",,"L"
"DEU","ELECTRICITY","TOT","GWH","A","1990",508582,
"DEU","ELECTRICITY","TOT","GWH","A","1991",500577,
"DEU","ELECTRICITY","TOT","GWH","A","1992",498781,
"DEU","ELECTRICITY","TOT","GWH","A","1993",488221,
"DEU","ELECTRICITY","TOT","GWH","A","1994",490899,
"DEU","ELECTRICITY","TOT","GWH","A","1995",498929,
"DEU","ELECTRICITY","TOT","GWH","A","1996",516331,
"DEU","ELECTRICITY","TOT","GWH","A","1997",512752,
"DEU","ELECTRICITY","TOT","GWH","A","1998",517621,
"DEU","ELECTRICITY","TOT","GWH","A","1999",518184,
"DEU","ELECTRICITY","TOT","GWH","A","2000",538489,
"DEU","ELECTRICITY","TOT","GWH","A","2001",548166,
"DEU","ELECTRICITY","TOT","GWH","A","2002",549288,
"DEU","ELECTRICITY","TOT","GWH","A","2003",569713,
"DEU","ELECTRICITY","TOT","GWH","A","2004",578577,
"DEU","ELECTRICITY","TOT","GWH","A","2005",582874,
"DEU","ELECTRICITY","TOT","GWH","A","2006",598995,
"DEU","ELECTRICITY","TOT","GWH","A","2007",600683,
"DEU","ELECTRICITY","TOT","GWH","A","2008",601150,
"DEU","ELECTRICITY","TOT","GWH","A","2009",558760,
"DEU","ELECTRICITY","TOT","GWH","A","2010",594414,
"DEU","ELECTRICITY","TOT","GWH","A","2011",576247,
"DEU","ELECTRICITY","TOT","GWH","A","2012",591431,
"DEU","ELECTRICITY","TOT","GWH","A","2013",600926,
"DEU","ELECTRICITY","TOT","GWH","A","2014",590874,
"DEU","ELECTRICITY","TOT","GWH","A","2015",610292,
"DEU","ELECTRICITY","TOT","GWH","A","2016",614332,
"DEU","ELECTRICITY","TOT","GWH","A","2017",619053,
"DEU","ELECTRICITY","TOT","GWH","A","2018",605651,
"DEU","ELECTRICITY","TOT","GWH","A","2019",575864,
"DEU","ELECTRICITY","TOT","GWH","A","2020",547662,
"DEU","ELECTRICITY","TOT","GWH","A","2021",558488,
"DEU","ELECTRICITY","TOT","GWH","A","2022",,"L"
"GRC","ELECTRICITY","TOT","GWH","A","1990",32146,
"GRC","ELECTRICITY","TOT","GWH","A","1991",32858,
"GRC","ELECTRICITY","TOT","GWH","A","1992",34360,
"GRC","ELECTRICITY","TOT","GWH","A","1993",35192,
"GRC","ELECTRICITY","TOT","GWH","A","1994",37379,
"GRC","ELECTRICITY","TOT","GWH","A","1995",38382,
"GRC","ELECTRICITY","TOT","GWH","A","1996",39297,
"GRC","ELECTRICITY","TOT","GWH","A","1997",40157,
"GRC","ELECTRICITY","TOT","GWH","A","1998",42754,
"GRC","ELECTRICITY","TOT","GWH","A","1999",45793,
"GRC","ELECTRICITY","TOT","GWH","A","2000",49863,
"GRC","ELECTRICITY","TOT","GWH","A","2001",49730,
"GRC","ELECTRICITY","TOT","GWH","A","2002",50608,
"GRC","ELECTRICITY","TOT","GWH","A","2003",54337,
"GRC","ELECTRICITY","TOT","GWH","A","2004",54889,
"GRC","ELECTRICITY","TOT","GWH","A","2005",55740,
"GRC","ELECTRICITY","TOT","GWH","A","2006",56547,
"GRC","ELECTRICITY","TOT","GWH","A","2007",59088,
"GRC","ELECTRICITY","TOT","GWH","A","2008",59407,
"GRC","ELECTRICITY","TOT","GWH","A","2009",56073,
"GRC","ELECTRICITY","TOT","GWH","A","2010",53389,
"GRC","ELECTRICITY","TOT","GWH","A","2011",53913,
"GRC","ELECTRICITY","TOT","GWH","A","2012",53654,
"GRC","ELECTRICITY","TOT","GWH","A","2013",52560,
"GRC","ELECTRICITY","TOT","GWH","A","2014",46702,
"GRC","ELECTRICITY","TOT","GWH","A","2015",47806,
"GRC","ELECTRICITY","TOT","GWH","A","2016",50227,
"GRC","ELECTRICITY","TOT","GWH","A","2017",50589.215,
"GRC","ELECTRICITY","TOT","GWH","A","2018",50083.654,
"GRC","ELECTRICITY","TOT","GWH","A","2019",45557,
"GRC","ELECTRICITY","TOT","GWH","A","2020",45334.743,
"GRC","ELECTRICITY","TOT","GWH","A","2021",53055.958,
"GRC","ELECTRICITY","TOT","GWH","A","2022",,"L"
"HUN","ELECTRICITY","TOT","GWH","A","1990",25899,
"HUN","ELECTRICITY","TOT","GWH","A","1991",27465,
"HUN","ELECTRICITY","TOT","GWH","A","1992",29119,
"HUN","ELECTRICITY","TOT","GWH","A","1993",30354,
"HUN","ELECTRICITY","TOT","GWH","A","1994",30959,
"HUN","ELECTRICITY","TOT","GWH","A","1995",31264,
"HUN","ELECTRICITY","TOT","GWH","A","1996",32318,
"HUN","ELECTRICITY","TOT","GWH","A","1997",32435,
"HUN","ELECTRICITY","TOT","GWH","A","1998",34260,
"HUN","ELECTRICITY","TOT","GWH","A","1999",34904,
"HUN","ELECTRICITY","TOT","GWH","A","2000",32259,
"HUN","ELECTRICITY","TOT","GWH","A","2001",33704,
"HUN","ELECTRICITY","TOT","GWH","A","2002",33475,
"HUN","ELECTRICITY","TOT","GWH","A","2003",31378,
"HUN","ELECTRICITY","TOT","GWH","A","2004",31262,
"HUN","ELECTRICITY","TOT","GWH","A","2005",33219,
"HUN","ELECTRICITY","TOT","GWH","A","2006",33345,
"HUN","ELECTRICITY","TOT","GWH","A","2007",37220,
"HUN","ELECTRICITY","TOT","GWH","A","2008",37383,
"HUN","ELECTRICITY","TOT","GWH","A","2009",33344,
"HUN","ELECTRICITY","TOT","GWH","A","2010",34613,
"HUN","ELECTRICITY","TOT","GWH","A","2011",33533,
"HUN","ELECTRICITY","TOT","GWH","A","2012",32351,
"HUN","ELECTRICITY","TOT","GWH","A","2013",28031,
"HUN","ELECTRICITY","TOT","GWH","A","2014",27141,
"HUN","ELECTRICITY","TOT","GWH","A","2015",28150,
"HUN","ELECTRICITY","TOT","GWH","A","2016",29548,
"HUN","ELECTRICITY","TOT","GWH","A","2017",30728,
"HUN","ELECTRICITY","TOT","GWH","A","2018",29891,
"HUN","ELECTRICITY","TOT","GWH","A","2019",32137,
"HUN","ELECTRICITY","TOT","GWH","A","2020",32914,
"HUN","ELECTRICITY","TOT","GWH","A","2021",34148,
"HUN","ELECTRICITY","TOT","GWH","A","2022",,"L"
"ISL","ELECTRICITY","TOT","GWH","A","1990",4452,
"ISL","ELECTRICITY","TOT","GWH","A","1991",4432,
"ISL","ELECTRICITY","TOT","GWH","A","1992",4490,
"ISL","ELECTRICITY","TOT","GWH","A","1993",4667,
"ISL","ELECTRICITY","TOT","GWH","A","1994",4720,
"ISL","ELECTRICITY","TOT","GWH","A","1995",4903,
"ISL","ELECTRICITY","TOT","GWH","A","1996",5057,
"ISL","ELECTRICITY","TOT","GWH","A","1997",5522,
"ISL","ELECTRICITY","TOT","GWH","A","1998",6197,
"ISL","ELECTRICITY","TOT","GWH","A","1999",7071,
"ISL","ELECTRICITY","TOT","GWH","A","2000",7554,
"ISL","ELECTRICITY","TOT","GWH","A","2001",7892,
"ISL","ELECTRICITY","TOT","GWH","A","2002",8272,
"ISL","ELECTRICITY","TOT","GWH","A","2003",8356,
"ISL","ELECTRICITY","TOT","GWH","A","2004",8475,
"ISL","ELECTRICITY","TOT","GWH","A","2005",8513,
"ISL","ELECTRICITY","TOT","GWH","A","2006",9795,
"ISL","ELECTRICITY","TOT","GWH","A","2007",11783,
"ISL","ELECTRICITY","TOT","GWH","A","2008",16166,
"ISL","ELECTRICITY","TOT","GWH","A","2009",16521,
"ISL","ELECTRICITY","TOT","GWH","A","2010",16746,
"ISL","ELECTRICITY","TOT","GWH","A","2011",16851,
"ISL","ELECTRICITY","TOT","GWH","A","2012",17296,
"ISL","ELECTRICITY","TOT","GWH","A","2013",18000,
"ISL","ELECTRICITY","TOT","GWH","A","2014",17803,
"ISL","ELECTRICITY","TOT","GWH","A","2015",18558,
"ISL","ELECTRICITY","TOT","GWH","A","2016",18172,
"ISL","ELECTRICITY","TOT","GWH","A","2017",18846.295,
"ISL","ELECTRICITY","TOT","GWH","A","2018",19432.498,
"ISL","ELECTRICITY","TOT","GWH","A","2019",19119.793,
"ISL","ELECTRICITY","TOT","GWH","A","2020",18778.694,
"ISL","ELECTRICITY","TOT","GWH","A","2021",19226.948,
"ISL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"IRL","ELECTRICITY","TOT","GWH","A","1990",13650,
"IRL","ELECTRICITY","TOT","GWH","A","1991",14243,
"IRL","ELECTRICITY","TOT","GWH","A","1992",15037,
"IRL","ELECTRICITY","TOT","GWH","A","1993",15419,
"IRL","ELECTRICITY","TOT","GWH","A","1994",16114,
"IRL","ELECTRICITY","TOT","GWH","A","1995",16818,
"IRL","ELECTRICITY","TOT","GWH","A","1996",18077,
"IRL","ELECTRICITY","TOT","GWH","A","1997",18825,
"IRL","ELECTRICITY","TOT","GWH","A","1998",20000,
"IRL","ELECTRICITY","TOT","GWH","A","1999",20890,
"IRL","ELECTRICITY","TOT","GWH","A","2000",22685,
"IRL","ELECTRICITY","TOT","GWH","A","2001",23679,
"IRL","ELECTRICITY","TOT","GWH","A","2002",23926,
"IRL","ELECTRICITY","TOT","GWH","A","2003",24065,
"IRL","ELECTRICITY","TOT","GWH","A","2004",24413,
"IRL","ELECTRICITY","TOT","GWH","A","2005",24791,
"IRL","ELECTRICITY","TOT","GWH","A","2006",26122,
"IRL","ELECTRICITY","TOT","GWH","A","2007",27435,
"IRL","ELECTRICITY","TOT","GWH","A","2008",28927,
"IRL","ELECTRICITY","TOT","GWH","A","2009",27127,
"IRL","ELECTRICITY","TOT","GWH","A","2010",27442,
"IRL","ELECTRICITY","TOT","GWH","A","2011",26365,
"IRL","ELECTRICITY","TOT","GWH","A","2012",26479,
"IRL","ELECTRICITY","TOT","GWH","A","2013",25116,
"IRL","ELECTRICITY","TOT","GWH","A","2014",25312,
"IRL","ELECTRICITY","TOT","GWH","A","2015",27623,
"IRL","ELECTRICITY","TOT","GWH","A","2016",29692,
"IRL","ELECTRICITY","TOT","GWH","A","2017",30093.469,
"IRL","ELECTRICITY","TOT","GWH","A","2018",30357.613,
"IRL","ELECTRICITY","TOT","GWH","A","2019",30276.095,
"IRL","ELECTRICITY","TOT","GWH","A","2020",31518.797,
"IRL","ELECTRICITY","TOT","GWH","A","2021",31019.939,
"IRL","ELECTRICITY","TOT","GWH","A","2022",,"L"
"ITA","ELECTRICITY","TOT","GWH","A","1990",205064,
"ITA","ELECTRICITY","TOT","GWH","A","1991",210290,
"ITA","ELECTRICITY","TOT","GWH","A","1992",214443,
"ITA","ELECTRICITY","TOT","GWH","A","1993",211371,
"ITA","ELECTRICITY","TOT","GWH","A","1994",220172,
"ITA","ELECTRICITY","TOT","GWH","A","1995",229216,
"ITA","ELECTRICITY","TOT","GWH","A","1996",232374,
"ITA","ELECTRICITY","TOT","GWH","A","1997",239297,
"ITA","ELECTRICITY","TOT","GWH","A","1998",246953,
"ITA","ELECTRICITY","TOT","GWH","A","1999",252748,
"ITA","ELECTRICITY","TOT","GWH","A","2000",263305,
"ITA","ELECTRICITY","TOT","GWH","A","2001",265981,
